step,L_total,L_det,L_perc,L_reg,p_max,delta_linf,delta_l2
1,0.34102481603622437,0.3408769369125366,0.14789298176765442,0.0,0.7408379316329956,0.009999999776482582,0.4430805444717407
2,0.23854462802410126,0.23839549720287323,0.1491178721189499,7.668763828405645e-06,0.6709191203117371,0.02001345343887806,0.6877736449241638
3,0.173763707280159,0.17361298203468323,0.1507163941860199,1.8477834601071663e-05,0.5958558917045593,0.029910238459706306,0.9178440570831299
4,0.11163283884525299,0.11148048937320709,0.15231770277023315,3.290772292530164e-05,0.4952238202095032,0.03909740597009659,1.1440002918243408
5,0.06770317256450653,0.06754902750253677,0.154094859957695,5.112252983963117e-05,0.39126020669937134,0.048865437507629395,1.3608300685882568
6,0.040611762553453445,0.040455419570207596,0.15627355873584747,7.233821816043928e-05,0.31110432744026184,0.05824983865022659,1.5628255605697632
7,0.025470318272709846,0.025311468169093132,0.15875522792339325,9.54071874730289e-05,0.2489028126001358,0.0671321302652359,1.748914361000061
8,0.01926391012966633,0.019102586433291435,0.16120535135269165,0.00011948052269872278,0.2203522026538849,0.07565692812204361,1.914280652999878
9,0.01750366762280464,0.017340192571282387,0.16333095729351044,0.00014314336294773966,0.2114492505788803,0.0832773745059967,2.0632998943328857
10,0.014957825653254986,0.014792338013648987,0.16532063484191895,0.00016629710444249213,0.19476865231990814,0.09018275886774063,2.1989328861236572
11,0.012485818937420845,0.012318562716245651,0.1670670211315155,0.00018887913029175252,0.1755683571100235,0.09833024442195892,2.323106050491333
12,0.010289207100868225,0.01012023538351059,0.1687614768743515,0.0002108133485307917,0.15583497285842896,0.10793467611074448,2.437330484390259
13,0.008585266768932343,0.008414744399487972,0.17029014229774475,0.00023205387697089463,0.14440369606018066,0.11740419268608093,2.542771100997925
14,0.007340574637055397,0.00716855563223362,0.171766459941864,0.00025256580556742847,0.14201568067073822,0.12669731676578522,2.640103340148926
15,0.006328202784061432,0.006154819391667843,0.17311081290245056,0.0002722713106777519,0.13853363692760468,0.13576506078243256,2.7300825119018555
16,0.0054357657209038734,0.005261079408228397,0.1743953377008438,0.00029114651260897517,0.13474532961845398,0.14454640448093414,2.813441753387451
17,0.004568473435938358,0.004392596427351236,0.17556795477867126,0.0003091974067501724,0.1295815110206604,0.15297147631645203,2.8907718658447266
18,0.004072483163326979,0.0038955421186983585,0.17661452293395996,0.00032642821315675974,0.12786783277988434,0.16076327860355377,2.961357355117798
19,0.0037157379556447268,0.0035378881730139256,0.17750728130340576,0.0003425639879424125,0.1260988414287567,0.16796986758708954,3.0259511470794678
20,0.0030962848104536533,0.0029176208190619946,0.1783064603805542,0.000357671087840572,0.12020765990018845,0.17463968694210052,3.0852606296539307
21,0.0024085587356239557,0.0022291557397693396,0.17903125286102295,0.000371829402865842,0.1117648109793663,0.1808157116174698,3.1399013996124268
22,0.0017646028427407146,0.0015845490852370858,0.1796686351299286,0.0003851164074148983,0.10225068777799606,0.18653276562690735,3.1904537677764893
23,0.001391590922139585,0.001210904447361827,0.18028876185417175,0.00039761699736118317,0.09598033875226974,0.19194410741329193,3.2378556728363037
24,0.0011219079606235027,0.0009406876051798463,0.18081074953079224,0.0004095198819413781,0.08959561586380005,0.19706813991069794,3.282259702682495
25,0.0012262171367183328,0.001044512027874589,0.18128430843353271,0.00042082922300323844,0.09234113246202469,0.2015034407377243,3.3232979774475098
26,0.0011852759635075927,0.0010030934354290366,0.18175113201141357,0.0004314183024689555,0.09185522794723511,0.20531441271305084,3.361189603805542
27,0.0009909564396366477,0.0008083148277364671,0.18220025300979614,0.0004413123242557049,0.08744394034147263,0.2085878998041153,3.3962223529815674
28,0.0007295628311112523,0.0005464443820528686,0.18266785144805908,0.00045055962982587516,0.08057006448507309,0.21141213178634644,3.428661346435547
29,0.000491543032694608,0.0003079487069044262,0.18313510715961456,0.00045920777483843267,0.07231251150369644,0.21388083696365356,3.4587221145629883
30,0.00039317901246249676,0.00020911563478875905,0.18359607458114624,0.00046729526366107166,0.0683411955833435,0.21616998314857483,3.4867167472839355
31,0.0003657533961813897,0.0001812859409255907,0.18399254977703094,0.0004748903738800436,0.06779605895280838,0.21826989948749542,3.5127408504486084
32,0.0003191158757545054,0.0001342843024758622,0.18434956669807434,0.00048200576566159725,0.06566256284713745,0.2209286391735077,3.536893844604492
33,0.00027597974985837936,9.083094482775778e-05,0.1846601516008377,0.0004886569804511964,0.06313283741474152,0.22396735846996307,3.5592668056488037
34,0.0002358816855121404,5.0422429922036827e-05,0.1849643886089325,0.0004948585992679,0.05994128808379173,0.22687271237373352,3.5799338817596436
35,0.00020526876323856413,1.950267869688105e-05,0.185265451669693,0.0005006221472285688,0.05624542757868767,0.22960330545902252,3.598956346511841
36,0.00019136648916173726,5.352080279408256e-06,0.18550844490528107,0.0005059564718976617,0.05327172204852104,0.2321331650018692,3.6164166927337646
37,0.00018629706755746156,3.810837512219223e-08,0.18574807047843933,0.0005108777550049126,0.050276074558496475,0.2344401627779007,3.632395029067993
38,0.00018649456615094095,0.0,0.18597915768623352,0.0005154021200723946,0.04757801815867424,0.23654045164585114,3.6470019817352295
